customer_id,company_name,contact_name,email,phone,created_at,country
7511,DataCorp,,nfilqk510@yahoo.fr,0414374472,2022-12-11,  Espagne   
7512,,Laura Smith,laurasmith280@hotmail.com,+33 6 20435439,2015-01-08,  Allemagne   
7513,SoftWave,MgnaL,mgnal40@company.com,,2020-03-24,France   
7514,DataCorp,,qmnltg141@hotmail.com,0679856039,2016-08-30,France
7515,TechNova,,dyiirp33@company.com,+1-1548837513,2022-07-27,  France   
7516,DataCorp,QdQZo,qdqzo767@yahoo.fr,+33 6 10072124,2014-01-25,Italie   
7517,Innova,,irnzda766@hotmail.com,0252171184,2015-06-01,  Japon
7518,AlphaSoft,,badnob771@company.com,+33 6 31096343,2014-04-28,  Allemagne   
7519,,Ali Nouar,alinouar225@yahoo.fr,,2020-07-19,  Italie   
7520,DataCorp,Ali Nouar,alinouar930@yahoo.fr,0665335383,2016-10-23,Japon
7521,DataCorp,KpavJ,kpavj814@yahoo.fr,,2012-02-17,Canada
7522,DataCorp,Jean Dupont,jeandupont694@hotmail.com,0561351158,2021-03-10,Tunisie   
7523,AlphaSoft,laura smith,laurasmith525@yahoo.fr,0698372870,2010-09-05,  Canada   
7524,TechNova,Jean Dupont,jeandupont770@gmail.com,0585240219,2010-06-21,  Espagne
7525,AlphaSoft,Jean Dupont,jeandupont366@yahoo.fr,0617419174,2014-10-14,  Allemagne
7526,SoftWave,Ali Nouar,alinouar215@yahoo.fr,+33 6 82827401,2014-03-09,USA   
7527,AlphaSoft,Jean Dupont,jeandupont187@gmail.com,+1-7935496911,2021-12-11,Canada   
7528,TechNova,Tariq Ben,tariqben418@gmail.com,+33 6 70253639,2021-08-16,  Espagne
7529,Innova,,pujvsd810@hotmail.com,,2012-09-27,  Allemagne
7530,DataCorp,Ali Nouar,alinouar103@company.com,+33 6 47859576,2014-11-21,  Tunisie   
7531,TechNova,,oetpww417@hotmail.com,0638881484,2017-10-11,  Maroc   
7532,SoftWave,Marie Curie,mariecurie793@hotmail.com,,2021-05-15,  Maroc
7533,DataCorp,Laura Smith,laurasmith613@yahoo.fr,0146103519,2017-12-26,Espagne
7534,TechNova,jmjTf,jmjtf97@company.com,+33 6 02802770,2019-10-31,  France
7535,Innova,Ali Nouar,alinouar766@gmail.com,+33 6 32631466,2016-12-29,  Allemagne   
7536,SoftWave,zrohb,zrohb405@hotmail.com,0128752665,2019-12-10,  USA
7537,SoftWave,jjoXG,jjoxg118@hotmail.com,0745942806,2011-07-18,  Espagne
7538,,Marie Curie,mariecurie530@company.com,0656231961,2014-11-21,Maroc   
7539,SoftWave,Jean Dupont,jeandupont282@company.com,0254210511,2020-09-01,  USA   
7540,,Ali Nouar,alinouar797@gmail.com,+1-5653996227,2014-09-21,Maroc   
7541,,Marie Curie,mariecurie990@gmail.com,+1-4232634145,2020-02-09,Japon   
7542,TechNova,Marie Curie,mariecurie39@hotmail.com,+33 6 07709419,2012-02-02,Tunisie   
7543,Innova,Ali Nouar,alinouar502@yahoo.fr,0294549865,2018-07-07,USA   
7544,AlphaSoft,XDhpa,xdhpa41@yahoo.fr,0259911885,2016-04-14,  Maroc   
7545,AlphaSoft,Laura Smith,laurasmith72@company.com,,2023-06-30,  France   
7546,TechNova,Jean Dupont,jeandupont187@gmail.com,+1-0568260443,2016-04-17,  Italie
7547,SoftWave,,rcsrvv799@yahoo.fr,+33 6 58026946,2015-02-25,  Canada
7548,DataCorp,,ocxhvb850@gmail.com,0646232651,2017-11-16,  France
7549,TechNova,mnLsg,mnlsg737@hotmail.com,0483713536,2014-11-05,France
7550,,Jean Dupont,jeandupont818@hotmail.com,+33 6 27739530,2012-05-27,France
7551,,Tariq Ben,,+1-0502036097,2013-06-14,Tunisie   
7552,TechNova,Ali Nouar,alinouar714@gmail.com,+1-8615864621,2022-04-01,Italie   
