customer_id,company_name,contact_name,email,phone,created_at,country
1,Innova,Tariq Ben,tariqben155@company.com,0614419762,2016-10-31,USA   
2,DataCorp,Jean Dupont,jeandupont991@company.com,+33 6 91860364,2014-12-20,Allemagne
3,TechNova,Jean Dupont,jeandupont406@hotmail.com,+1-5559865566,2016-11-28,  Canada
4,Innova,Ali Nouar,alinouar74@gmail.com,0662613321,2016-04-18,  Espagne
5,,Tariq Ben,tariqben996@company.com,+1-1578492881,2019-01-07,Tunisie   
6,TechNova,Jean Dupont,jeandupont488@gmail.com,+33 6 14382848,2010-05-17,France   
7,Innova,Marie Curie,mariecurie730@yahoo.fr,,2015-03-07,  Canada   
8,SOFTWAVE,,nxhnrt66@hotmail.com,+1-1371585303,2017-05-06,Japon   
9,DataCorp,Marie Curie,mariecurie361@hotmail.com,0635745165,2016-04-17,  Tunisie
10,AlphaSoft,Ali Nouar,alinouar444@hotmail.com,+1-6009798729,2017-09-28,Japon   
11,TechNova,Laura Smith,laurasmith965@yahoo.fr,+33 6 39987440,2010-03-23,  Italie
12,TechNova,VvHpw,vvhpw730@company.com,0997666199,2022-05-09,Italie
13,DataCorp,Ali Nouar,alinouar802@yahoo.fr,+1-3796541675,2022-02-26,Tunisie   
14,Innova,Jean Dupont,,0691281610,2014-05-15,Espagne
15,SoftWave,Laura Smith,laurasmith534@yahoo.fr,+1-8821568968,2019-02-26,  Japon   
16,SoftWave,DFgNC,dfgnc904@hotmail.com,+1-1658787819,2022-01-29,  Tunisie   
17,TechNova,Ali Nouar,alinouar940@hotmail.com,+33 6 43813064,2017-04-08,Tunisie
18,,Tariq Ben,tariqben915@hotmail.com,+1-2460078987,2023-03-20,Allemagne
19,Innova,Ali Nouar,alinouar258@gmail.com,0313505230,2012-01-17,  Canada   
20,,Jean Dupont,jeandupont29@company.com,,2016-11-15,  Tunisie
21,DataCorp,Ali Nouar,alinouar359@company.com,0685030752,2011-01-29,Allemagne   
22,DataCorp,Tariq Ben,tariqben366@hotmail.com,0640665209,2022-10-06,  France
23,SoftWave,Marie Curie,mariecurie440@hotmail.com,0126904173,2021-12-20,Allemagne   
24,SoftWave,Marie Curie,mariecurie85@company.com,0655629179,2011-11-12,  Allemagne   
25,AlphaSoft,,sbhzzc345@gmail.com,0663283381,2017-04-16,Allemagne
26,Innova,Laura Smith,laurasmith728@company.com,,2019-10-30,  Canada
27,DataCorp,Laura Smith,laurasmith555@yahoo.fr,+33 6 74234115,2014-12-15,  Italie   
28,TechNova,Laura Smith,laurasmith619@hotmail.com,0402969564,2019-04-14,Canada   
29,SoftWave,Jean Dupont,jeandupont507@yahoo.fr,0530825031,2013-04-05,Japon
30,DataCorp,Dafdq,dafdq108@hotmail.com,+33 6 69085335,2019-06-21,Maroc   
31,Innova,Laura Smith,laurasmith127@yahoo.fr,0558126514,2014-12-14,USA   
32,SoftWave,Laura Smith,laurasmith338@hotmail.com,0629115357,2018-05-25,France   
33,DataCorp,marie curie,mariecurie213@company.com,0053824539,2014-07-21,  Tunisie
34,TechNova,,jhozeo513@company.com,0616039110,2015-11-30,  Italie   
35,AlphaSoft,,ksuuht468@hotmail.com,+33 6 56999474,2014-09-08,  France   
36,SoftWave,Jean Dupont,jeandupont434@company.com,,2010-07-02,Allemagne   
37,AlphaSoft,Jean Dupont,jeandupont26@yahoo.fr,0697035606,2017-02-13,  Canada
38,TechNova,QXgGI,qxggi844@company.com,+33 6 37402503,2011-11-25,  Allemagne
39,SoftWave,Marie Curie,mariecurie56@company.com,,2017-10-27,Tunisie   
40,AlphaSoft,Ali Nouar,alinouar606@company.com,0002517891,2018-06-24,France
41,TechNova,lUIlB,luilb168@company.com,0706495126,2022-04-05,  France
