customer_id,company_name,contact_name,email,phone,created_at,country
850,,Ali Nouar,alinouar971@gmail.com,+33 6 18341939,2014-08-16,Allemagne
7702,AlphaSoft,Laura Smith,laurasmith599@gmail.com,,2010-12-17,Allemagne
1026,SoftWave,Jean Dupont,jeandupont937@hotmail.com,+1-1545514909,2015-11-27,  Espagne
9012,Innova,cKTzU,cktzu790@yahoo.fr,0672651738,2010-03-14,Tunisie   
9716,DataCorp,,tksnbu160@gmail.com,0096137073,2012-10-30,  Maroc   
5966,,,dtadyz828@gmail.com,0681499285,2019-01-01,  Italie
4229,,jean dupont,jeandupont164@company.com,0418598877,2010-06-12,Tunisie
8475,TechNova,,rwstce220@hotmail.com,0245413471,2021-07-01,Canada   
258,TechNova,Tariq Ben,tariqben671@yahoo.fr,+33 6 94927860,2012-07-30,Maroc   
3956,TechNova,Laura Smith,laurasmith498@gmail.com,0655387877,2013-09-17,  Tunisie
8694,,Ali Nouar,alinouar489@gmail.com,0836140364,2010-08-17,Allemagne   
1216,,Marie Curie,mariecurie49@yahoo.fr,+1-1520805629,2015-09-25,Japon   
8507,TechNova,Jean Dupont,jeandupont290@company.com,0272429911,2013-10-22,Japon   
5854,Innova,QYVfm,qyvfm313@gmail.com,+33 6 66243499,2014-10-14,  Italie
2281,TechNova,ciXiV,cixiv548@company.com,0669620656,2010-03-25,  USA   
2636,DataCorp,Tariq Ben,tariqben922@hotmail.com,+33 6 18868664,2021-06-16,USA   
9513,DataCorp,,ndrwoa276@yahoo.fr,0656626359,2016-10-19,Italie
9386,DataCorp,Laura Smith,laurasmith264@company.com,+33 6 54958242,2023-03-03,France
5206,Innova,Jean Dupont,jeandupont103@yahoo.fr,0625562388,2013-12-17,USA
9807,Innova,,,0637291477,2017-11-10,  Japon
2675,,Jean Dupont,jeandupont128@gmail.com,0506583660,2022-05-07,USA   
526,SoftWave,,nijszv897@yahoo.fr,0839160176,2022-09-25,  France
6667,TechNova,Marie Curie,mariecurie676@yahoo.fr,,2013-02-09,  USA
5566,DataCorp,Marie Curie,mariecurie902@gmail.com,0208350848,2016-08-21,  Italie   
4750,SoftWave,osDxC,osdxc152@hotmail.com,,2017-03-15,Japon   
2438,AlphaSoft,oCBvo,ocbvo714@gmail.com,+33 6 97671202,2020-01-11,France   
9158,AlphaSoft,Laura Smith,laurasmith532@company.com,+33 6 68948081,2021-07-27,Espagne   
9055,TechNova,Tariq Ben,tariqben929@gmail.com,0206232298,2022-08-13,  Espagne
7562,TechNova,Marie Curie,,+1-4041403831,2015-01-19,  Allemagne   
9549,,Laura Smith,laurasmith354@gmail.com,,2013-12-18,USA   
3359,,Marie Curie,mariecurie558@hotmail.com,,2015-12-19,  Maroc   
6639,SoftWave,bROJs,brojs382@gmail.com,+33 6 32454094,2020-08-21,Canada   
7056,Innova,xByyZ,xbyyz499@company.com,0476507109,2017-03-19,Maroc   
629,SoftWave,Ali Nouar,alinouar13@company.com,,2016-10-13,  Maroc   
4661,DataCorp,Marie Curie,mariecurie409@company.com,0493264205,2022-10-08,  Espagne
4683,DataCorp,,yfqbaf60@hotmail.com,,2020-03-03,  USA   
4839,,Ali Nouar,alinouar978@company.com,0695368904,2017-11-29,  USA
7912,TechNova,Jean Dupont,jeandupont825@hotmail.com,+1-1398580625,2010-02-14,USA   
2042,Innova,Ali Nouar,,,2016-11-27,Tunisie
7730,SoftWave,Jean Dupont,jeandupont843@gmail.com,,2010-06-13,  Maroc
7115,DataCorp,aLmdB,almdb409@gmail.com,0631625377,2012-05-17,  Japon   
1282,Innova,,bbqupe764@company.com,0376184272,2020-07-11,Espagne   
254,SoftWave,GpUHo,gpuho876@yahoo.fr,0861270475,2010-01-23,  Espagne   
9800,AlphaSoft,Ali Nouar,,0421509367,2018-03-13,  Canada   
3117,DataCorp,Tariq Ben,tariqben809@hotmail.com,+1-0252584874,2013-04-16,Canada
4367,,Jean Dupont,jeandupont914@hotmail.com,0656467218,2020-10-12,  Espagne   
3113,AlphaSoft,Tariq Ben,tariqben915@yahoo.fr,+33 6 64325476,2016-02-27,  Maroc   
8419,TechNova,Tariq Ben,tariqben274@company.com,+1-7926582939,2021-10-04,  France
6828,SoftWave,Marie Curie,mariecurie12@company.com,,2012-07-25,  Canada   
8276,TechNova,Laura Smith,laurasmith433@yahoo.fr,+33 6 73039184,2022-04-30,  Maroc   
9479,Innova,Marie Curie,mariecurie568@gmail.com,0004063697,2018-04-18,Maroc   
5341,Innova,OwUNu,owunu342@yahoo.fr,0355739587,2016-06-21,  Canada   
7672,DataCorp,XSkjd,xskjd953@company.com,0634028685,2013-08-08,  Japon   
4522,,Ali Nouar,alinouar23@hotmail.com,0534166491,2015-09-30,  Canada
3907,,Laura Smith,laurasmith477@yahoo.fr,0638466974,2019-05-30,Maroc   
4030,TechNova,Jean Dupont,jeandupont870@company.com,0693851419,2013-10-29,Italie   
6509,AlphaSoft,Jean Dupont,jeandupont409@company.com,,2016-02-02,Tunisie   
971,DataCorp,,sqhhcm296@yahoo.fr,,2015-01-16,Espagne   
7355,Innova,Ali Nouar,alinouar749@hotmail.com,0642239083,2012-05-01,  USA   
