customer_id,company_name,contact_name,email,phone,created_at,country
9159,Innova,huPAT,hupat396@gmail.com,+1-0220616909,2015-07-06,USA
9629,SoftWave,xHLsP,xhlsp479@company.com,0056535663,2022-10-23,  Maroc   
2661,AlphaSoft,yLHnY,ylhny763@yahoo.fr,0604701040,2021-05-11,  France
2432,DataCorp,Marie Curie,mariecurie709@yahoo.fr,0662128400,2013-09-21,USA
6902,Innova,tariq ben,tariqben624@yahoo.fr,+1-2433639313,2019-08-10,Tunisie   
25,AlphaSoft,,sbhzzc345@gmail.com,0663283381,2017-04-16,Allemagne
5174,,Laura Smith,laurasmith679@yahoo.fr,0193540296,2010-08-15,  Espagne
7684,,Marie Curie,mariecurie162@yahoo.fr,+1-6723679510,2019-07-23,USA   
9085,,Tariq Ben,tariqben409@gmail.com,0176180274,2017-03-25,  Canada   
9481,Innova,Ali Nouar,alinouar489@gmail.com,+33 6 88789291,2010-11-09,France
9459,SoftWave,Laura Smith,laurasmith514@gmail.com,+33 6 78809642,2013-10-08,  Tunisie
7560,SoftWave,Ali Nouar,alinouar724@yahoo.fr,0049146708,2012-05-07,  Espagne
2172,SoftWave,,ejdrkd603@company.com,0625906294,2018-10-11,Italie   
1537,Innova,IBFUH,ibfuh705@yahoo.fr,,2020-08-27,Japon   
8983,Innova,,ientsi397@yahoo.fr,+1-8982301208,2022-11-19,  Maroc
3312,SoftWave,Jean Dupont,jeandupont260@hotmail.com,0669713717,2019-05-25,Maroc   
4294,AlphaSoft,Tariq Ben,tariqben167@gmail.com,0340507140,2013-03-07,  Tunisie
1180,AlphaSoft,EWZWx,ewzwx160@company.com,,2022-02-17,Tunisie
9154,Innova,Ali Nouar,,+1-3754924827,2022-01-21,Italie   
1274,SoftWave,Tariq Ben,tariqben497@yahoo.fr,0641683986,2013-01-03,Japon
7129,Innova,ILOOp,iloop954@gmail.com,+1-6861676658,2012-10-24,Espagne
1455,AlphaSoft,,jahrfh175@gmail.com,+33 6 69280020,2018-02-26,USA   
5601,AlphaSoft,Laura Smith,laurasmith390@company.com,,2012-10-27,Maroc
589,,Tariq Ben,tariqben749@gmail.com,,2013-07-18,  Espagne   
8552,,Marie Curie,mariecurie118@yahoo.fr,+33 6 10416957,2017-02-19,France
4292,Innova,Marie Curie,mariecurie785@company.com,0851300106,2014-02-01,  France
3556,AlphaSoft,Laura Smith,laurasmith41@gmail.com,0983348778,2014-03-01,  Canada   
1618,Innova,LqsLa,lqsla419@gmail.com,+1-7535520533,2023-05-09,USA   
2554,DataCorp,Tariq Ben,tariqben464@company.com,,2010-11-03,  Espagne
8368,Innova,kdoQk,kdoqk149@hotmail.com,,2011-06-12,Allemagne   
1011,,,koryrk240@yahoo.fr,+1-1668771464,2020-09-04,Italie
290,TechNova,Tariq Ben,tariqben400@hotmail.com,+1-7139023469,2012-03-12,  USA
5697,AlphaSoft,,ynjwpa889@hotmail.com,0641216843,2011-05-22,  France
2693,AlphaSoft,Jean Dupont,jeandupont75@company.com,0348864461,2010-02-27,  Japon   
9235,TechNova,Jean Dupont,jeandupont241@gmail.com,0641447785,2010-01-05,  Japon
5876,TechNova,Tariq Ben,tariqben787@gmail.com,0059783545,2018-10-09,Canada
3797,DataCorp,,lrnpqc304@yahoo.fr,,2022-05-29,Italie   
3560,AlphaSoft,,nyagbe837@hotmail.com,0658677872,2017-08-15,  Maroc
4991,DataCorp,,olmlsg618@gmail.com,,2023-08-02,  Tunisie
3197,SoftWave,Ali Nouar,alinouar693@gmail.com,0638372219,2010-12-24,USA   
5074,,,zbcqnd455@company.com,+33 6 73045768,2017-08-01,  Tunisie
4985,AlphaSoft,Laura Smith,laurasmith51@company.com,,2022-12-26,Espagne   
7348,Innova,,uomeww1@company.com,0681986236,2019-10-19,Maroc   
5417,TechNova,Jean Dupont,jeandupont881@yahoo.fr,+33 6 11257892,2022-12-11,France   
9664,SoftWave,PQUVS,pquvs466@yahoo.fr,,2015-12-09,  France
5906,AlphaSoft,Laura Smith,laurasmith30@hotmail.com,+1-7503791851,2017-06-14,  Allemagne
7193,DataCorp,Jean Dupont,jeandupont815@hotmail.com,+33 6 78710148,2011-07-26,  Espagne   
4741,TechNova,Yjvei,yjvei797@company.com,+1-8275668783,2014-09-20,Tunisie
9307,SoftWave,Laura Smith,laurasmith873@gmail.com,+1-0220903959,2021-05-22,USA   
7524,TechNova,Jean Dupont,jeandupont770@gmail.com,0585240219,2010-06-21,  Espagne
6528,,Marie Curie,mariecurie364@company.com,,2015-03-06,Japon
197,SoftWave,Marie Curie,mariecurie556@yahoo.fr,+1-2304236061,2017-05-11,Espagne
7797,,Laura Smith,laurasmith918@hotmail.com,+1-6859305387,2015-12-03,  Tunisie   
8031,DataCorp,Jean Dupont,jeandupont188@yahoo.fr,+1-7816609826,2014-02-25,  Tunisie   
5863,SoftWave,Jean Dupont,jeandupont948@gmail.com,,2019-11-29,  Tunisie   
7059,Innova,plsUh,plsuh989@yahoo.fr,+1-0033089367,2011-09-12,  Canada
5381,Innova,Laura Smith,laurasmith590@hotmail.com,0605181480,2015-10-14,  USA
6102,TechNova,Tariq Ben,tariqben641@gmail.com,0415852730,2021-07-05,  Allemagne   
9957,,,dekcfh945@hotmail.com,+33 6 32387341,2016-12-25,  USA
9635,TechNova,,imxdyx886@company.com,,2011-11-30,  Italie
3200,TechNova,Marie Curie,mariecurie771@gmail.com,0673502902,2019-07-11,  Tunisie
4106,TechNova,Ali Nouar,alinouar123@gmail.com,,2010-01-20,Japon
4423,,Jean Dupont,jeandupont113@gmail.com,0810747543,2014-06-18,  Espagne   
5366,Innova,Jean Dupont,jeandupont176@company.com,0219917049,2014-02-09,  Italie
3578,SoftWave,XhFKJ,xhfkj464@hotmail.com,,2016-03-29,Italie   
427,TechNova,Laura Smith,laurasmith354@company.com,,2016-07-14,  Maroc
8937,TechNova,Laura Smith,laurasmith161@yahoo.fr,0654097383,2015-05-26,USA
2440,SoftWave,Ali Nouar,,,2014-11-27,  Maroc
5370,AlphaSoft,Laura Smith,laurasmith895@yahoo.fr,+1-6542793729,2017-07-24,  Japon   
6773,TechNova,Ali Nouar,alinouar180@company.com,+1-7177873917,2018-10-20,  Tunisie   
9412,TechNova,,cjqdkn823@yahoo.fr,,2021-12-19,  USA
8435,TechNova,Ali Nouar,alinouar707@gmail.com,0636724209,2020-05-01,  Allemagne
6903,Innova,,gpnxyq533@hotmail.com,0659639482,2013-10-31,  Canada
7746,SoftWave,Laura Smith,laurasmith271@hotmail.com,+1-0155143279,2022-02-12,  Italie   
4319,SoftWave,Laura Smith,,0610764100,2017-01-11,  Japon   
2341,TechNova,Laura Smith,laurasmith984@company.com,0668250109,2013-09-10,Tunisie   
8569,AlphaSoft,Laura Smith,laurasmith232@gmail.com,,2015-10-02,Tunisie   
9960,SoftWave,Tariq Ben,tariqben703@hotmail.com,+33 6 75321985,2015-09-27,  Italie
879,DataCorp,Ali Nouar,alinouar422@hotmail.com,+33 6 73026417,2012-07-11,Italie   
5022,SoftWave,PXvvs,pxvvs193@hotmail.com,0729126686,2020-08-10,Canada
4352,TechNova,Marie Curie,mariecurie750@hotmail.com,0614779344,2023-05-27,  Allemagne
9001,DataCorp,Ali Nouar,alinouar386@hotmail.com,,2020-11-13,  Tunisie   
5942,SoftWave,,bflzhb954@hotmail.com,,2016-05-06,  Allemagne   
2167,,Ali Nouar,alinouar656@hotmail.com,+1-0115561021,2018-07-25,Japon
2553,AlphaSoft,Ali Nouar,,0268205063,2010-02-11,Canada
4905,DataCorp,Jean Dupont,jeandupont801@company.com,+1-1402844908,2018-03-15,  Allemagne
6402,Innova,,bjztgw441@company.com,0608032275,2021-04-28,Italie
5145,TechNova,Laura Smith,laurasmith206@yahoo.fr,+33 6 70910720,2015-07-13,  Japon   
5004,Innova,Jean Dupont,,0641478318,2020-07-05,Canada
3151,SoftWave,SBctH,sbcth467@hotmail.com,+1-8142070289,2012-03-02,Maroc
6281,DataCorp,Ali Nouar,alinouar145@company.com,+33 6 30907618,2014-05-11,Tunisie
7801,INNOVA,Marie Curie,mariecurie489@gmail.com,+33 6 01547625,2013-05-23,Allemagne
9420,Innova,ihHZa,ihhza880@yahoo.fr,+33 6 37721318,2017-12-16,Italie   
7914,SoftWave,Jean Dupont,jeandupont189@yahoo.fr,,2011-04-10,  Espagne
2237,TechNova,Ali Nouar,alinouar980@company.com,+33 6 25314237,2012-07-25,  Allemagne
3443,SoftWave,Tariq Ben,tariqben694@company.com,0690094078,2013-03-27,Japon
2293,SoftWave,,uzkgfp413@company.com,0640621877,2022-10-21,  France   
1453,Innova,Ali Nouar,alinouar484@gmail.com,+33 6 07836169,2015-06-24,Espagne   
2515,,Jean Dupont,jeandupont443@hotmail.com,0628748477,2020-08-31,Canada   
2836,TechNova,Tariq Ben,tariqben598@gmail.com,+33 6 52532571,2018-07-10,Tunisie   
6548,TechNova,,ickhdp586@hotmail.com,+1-6132082185,2012-04-30,  Espagne
72,TECHNOVA,Laura Smith,laurasmith899@yahoo.fr,0627721309,2013-09-10,Allemagne
4523,AlphaSoft,Ali Nouar,alinouar909@company.com,,2016-06-08,USA
8405,SoftWave,Laura Smith,laurasmith178@hotmail.com,,2010-10-24,  France
5149,SOFTWAVE,Marie Curie,mariecurie30@gmail.com,+1-7529021004,2014-08-25,  Espagne   
689,,,uozczq326@gmail.com,0615140135,2013-12-11,Allemagne   
9874,AlphaSoft,,yijktm442@gmail.com,0082736105,2022-09-26,Espagne
8230,TechNova,,nvctft655@company.com,+1-7181701217,2015-05-26,France   
2219,SoftWave,Jean Dupont,jeandupont865@company.com,+33 6 36708256,2016-11-11,  Canada
1942,SoftWave,Jean Dupont,jeandupont446@gmail.com,,2014-08-29,  Italie   
207,,Ali Nouar,alinouar732@gmail.com,+1-2157300583,2019-10-23,USA   
7898,Innova,HvMTZ,hvmtz313@company.com,,2014-04-10,  Italie
5702,AlphaSoft,Laura Smith,,0713962459,2012-11-09,  USA
1117,TechNova,nIhJV,nihjv289@company.com,,2014-10-23,  Japon   
6568,TechNova,Tariq Ben,tariqben613@yahoo.fr,+33 6 71396289,2017-05-07,USA
5787,AlphaSoft,Jean Dupont,jeandupont705@yahoo.fr,+33 6 72192818,2012-04-08,Espagne
1532,Innova,,cqgnsu102@hotmail.com,+1-7848338192,2022-08-09,Italie   
7026,,Marie Curie,mariecurie201@gmail.com,,2022-06-09,  Canada   
9626,TechNova,,afdtwb196@company.com,+1-2046607340,2023-02-28,USA   
2064,SoftWave,Jean Dupont,jeandupont519@yahoo.fr,+1-6321270520,2018-08-07,  Italie   
5337,AlphaSoft,Jean Dupont,jeandupont346@company.com,+33 6 54617987,2015-09-09,  Tunisie
9233,TechNova,Marie Curie,mariecurie73@gmail.com,+1-5279940277,2019-02-14,  Allemagne
4898,DataCorp,Jean Dupont,jeandupont186@company.com,0642716301,2014-08-22,Maroc   
3224,AlphaSoft,,xjfoos409@hotmail.com,+1-9920365007,2022-12-11,  Tunisie
4800,Innova,,vtnbgm413@hotmail.com,+1-2705517475,2018-10-17,Allemagne   
8283,AlphaSoft,Ali Nouar,alinouar174@gmail.com,0116296462,2013-01-26,Italie   
2781,,bOknI,bokni489@company.com,+33 6 31201283,2014-04-07,  France
9833,AlphaSoft,Ali Nouar,alinouar47@hotmail.com,+1-0279425932,2010-05-01,  Allemagne   
3301,TechNova,Ali Nouar,alinouar824@company.com,0166496493,2020-01-29,  France
3792,,,qcvbly543@company.com,+1-0940387149,2020-01-30,Italie   
9183,SoftWave,Tariq Ben,tariqben801@company.com,0107772901,2010-11-03,Italie   
2033,TechNova,,xkntos507@gmail.com,0618722915,2010-03-11,  Espagne
984,Innova,Marie Curie,mariecurie185@company.com,,2010-02-11,USA   
1620,TechNova,,fnegzu325@company.com,,2010-09-15,Italie
192,SoftWave,Ali Nouar,alinouar845@company.com,0570940018,2013-06-06,  Canada
3928,DataCorp,Marie Curie,mariecurie34@hotmail.com,0535856395,2013-04-18,  Italie   
9846,AlphaSoft,JGAvc,jgavc381@yahoo.fr,+1-6525641181,2012-01-22,  Canada
9330,TechNova,Marie Curie,mariecurie933@gmail.com,,2015-10-02,Japon   
351,DataCorp,Laura Smith,laurasmith738@gmail.com,,2011-03-13,Allemagne
7525,AlphaSoft,Jean Dupont,jeandupont366@yahoo.fr,0617419174,2014-10-14,  Allemagne
1091,,Ali Nouar,alinouar59@gmail.com,+1-6590236153,2013-09-27,  USA
8772,DataCorp,,xyiikx728@gmail.com,+33 6 85784297,2012-07-30,Espagne   
9618,Innova,Ali Nouar,alinouar664@hotmail.com,0321841394,2014-12-16,  USA
6006,SoftWave,Ali Nouar,alinouar461@company.com,0524237809,2015-10-01,  Tunisie   
2633,DataCorp,Laura Smith,laurasmith447@gmail.com,+33 6 04007093,2011-06-19,  France   
240,,Marie Curie,mariecurie446@yahoo.fr,0691843948,2014-12-26,USA
3592,TechNova,Marie Curie,mariecurie790@gmail.com,+33 6 72700639,2016-06-22,  Maroc
9306,,Ali Nouar,alinouar944@yahoo.fr,0636836735,2018-04-12,  Allemagne
2367,AlphaSoft,Ali Nouar,alinouar835@gmail.com,+1-8064147085,2023-03-20,USA   
2748,SoftWave,Ali Nouar,alinouar955@gmail.com,0281978964,2016-12-27,  France   
1637,DataCorp,Jean Dupont,jeandupont283@company.com,0185960940,2010-04-01,  Maroc
7877,DataCorp,rgopd,rgopd703@yahoo.fr,,2013-12-03,  Allemagne   
869,,Tariq Ben,tariqben740@company.com,0680301321,2022-11-11,Italie
154,AlphaSoft,,chvqwq867@yahoo.fr,+33 6 77405941,2015-04-21,Allemagne   
8643,AlphaSoft,Bkakt,bkakt869@hotmail.com,+1-8818787321,2018-07-11,  Tunisie
6693,AlphaSoft,Jean Dupont,jeandupont988@hotmail.com,+33 6 06874647,2023-05-30,Espagne
5728,TechNova,laura smith,laurasmith762@company.com,0239558510,2017-11-20,USA   
3344,,Laura Smith,laurasmith431@yahoo.fr,+33 6 48869816,2013-12-17,France
8545,,cgMPc,cgmpc918@gmail.com,+33 6 23912902,2011-08-05,USA   
1400,,Marie Curie,mariecurie603@gmail.com,+33 6 56913912,2021-02-26,Allemagne   
9162,DataCorp,Jean Dupont,jeandupont1@hotmail.com,0399568344,2018-03-22,  France
9044,SoftWave,Laura Smith,laurasmith910@yahoo.fr,0974915153,2014-08-14,Tunisie
9894,TechNova,Laura Smith,laurasmith466@gmail.com,+33 6 62769094,2011-12-16,  Espagne
6750,TechNova,Jean Dupont,jeandupont541@company.com,,2020-04-07,Japon   
4100,TechNova,,chsofe937@company.com,,2012-07-06,  France   
8521,DataCorp,Tariq Ben,tariqben363@company.com,+33 6 99824135,2017-05-23,  France
8758,SoftWave,Tariq Ben,tariqben951@company.com,0627160892,2022-07-15,Japon   
8899,,Laura Smith,laurasmith338@company.com,+1-0778847468,2022-12-26,  Espagne
6673,SOFTWAVE,Tariq Ben,tariqben869@yahoo.fr,0312934808,2020-06-10,Allemagne
4689,SoftWave,Marie Curie,mariecurie414@hotmail.com,0120252108,2013-04-10,  Canada
9240,SoftWave,Tariq Ben,tariqben643@company.com,+33 6 62174173,2015-02-08,  USA   
9034,Innova,,dumelb525@gmail.com,0699000901,2014-03-26,  Espagne   
9374,TechNova,,fvjdhd319@gmail.com,+1-3681917484,2012-07-01,  USA   
3773,AlphaSoft,Ali Nouar,alinouar651@company.com,+33 6 74252163,2014-12-19,  USA   
8353,TechNova,Tariq Ben,tariqben577@yahoo.fr,,2021-12-08,  Italie   
6288,Innova,Ali Nouar,alinouar670@hotmail.com,+1-5552203609,2010-02-22,  France
